what,kind,bundleId,bundleVersion,description,time
error,log,,,"Invalid breakpoint parameter(s)",1525184992760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185003554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185022247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185364652
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185366405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185367202
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525185368062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185368936
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185370537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185380666
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185384316
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185384860
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185386014
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185387499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185388272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185406676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1525185408901
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185419726
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185422545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185423808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185432996
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185434772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185435521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185436451
opened,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525185479966
activated,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525185480120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185532720
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185535198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185545591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185546656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185547873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185558932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185561331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185562538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185563559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185564667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185587550
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525185593281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185593859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185595514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185596320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185597028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185607065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185610701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185620081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185627794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185630852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1525185632925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185633077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185643794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185648646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185651131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185654007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185656801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185661005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185664290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185665030
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185666302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185667293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185668989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185678032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525185678744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525185679530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185680292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185688348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185693425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185706030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185707321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185713783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1525185714909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185715063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525185715412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185717811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525185721247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185722431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185723450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1525185744764
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1525185748729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185751148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185761188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185764036
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525185776551
activated,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525185777252
