what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305745167
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305745474
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305745728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523305748305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523305756836
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305758634
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305759423
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305759915
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1523305761379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523305765913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523305768857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523305779217
opened,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1523306027611
activated,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1523306027738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523306048061
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1523306049843
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1523306054850
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1523306057188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523306063565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523306074706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523306088403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523306094031
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1523306099631
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1523306103560
