what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1525457783622
error,log,,,"An internal error occurred during: ""Reading Debug Symbol Information: serverSide"".",1525457783784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457784099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457784822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457786322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457787254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457826470
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457827854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525457829619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458945321
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525458946582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1525458947636
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525458948355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458949208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458959790
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525458961226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458962436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458965090
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1525458965199
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458985841
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458986079
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458986311
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458986514
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458986787
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458987050
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458987335
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458987591
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458987833
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458988067
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458988307
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458988528
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458988819
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458989064
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525458989298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525458996887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525459001698
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525459001881
